On Old Website,Film Title,Year,Original Story,Story Author,Story Year,Region,Director,Studio,Genres,Survival Status,Access Status,Notes,Film URL,Research Status,Personal Copy,Copy Notes
TRUE,Fieldwork Footage,1928,N/A,N/A,,"Central Florida",Zora Neale Hurston,,Documentary,Extant,Available,,,TRUE,TRUE,
TRUE,Ethnographic Films,1929,N/A,N/A,,"Central Florida",Zora Neale Hurston,,Documentary,Extant,Available,Probably incomplete,,,TRUE,TRUE,
FALSE,"Commandment Keeper Church",1940,N/A,N/A,,South Carolina,Zora Neale Hurston,,Documentary,Extant,Restricted,,,FALSE,,FALSE,
TRUE,Mr. Opp,1917,Mr. Opp,Alice Hegan Rice,1909,"Appalachia",Lynn Reynolds,Bluebird Photoplays,Drama,Lost,Unavailable,Lost per LOC,,,,FALSE,
TRUE,Mrs. Wiggs of the Cabbage Patch,1914,Mrs. Wiggs of the Cabbage Patch,Alice Hegan Rice,1901,"Appalachia",Harold Entwistle,California Motion Picture Co,Drama,Lost,Unavailable,Lost per LOC,,,,FALSE,
FALSE,Mrs. Wiggs of the Cabbage Patch,1919,Mrs. Wiggs of the Cabbage Patch,Alice Hegan Rice,1901,"Appalachia",Hugh Ford,Famous Players-Lasky,"Comedy,Drama",Extant,Available,,https://www.youtube.com/watch?v=8qCWom9rmGQ,,TRUE,
FALSE,Sunshine Nan,1918,Calvary Alley,Alice Hegan Rice,1917,"Appalachia",Charles Giblyn,Famous Players-Lasky,"Comedy,Drama",Extant,Restricted,At Centre National du Cinéma et de l'image animée [CNC] film archive,,,,FALSE,
FALSE,Lovey Mary,1926,Lovey Mary,Alice Hegan Rice,1903,"Appalachia",King Baggot,MGM,"Comedy,Drama",Extant,Restricted,Incomplete,,,,FALSE,
FALSE,Mrs. Wiggs of the Cabbage Patch,1934,Mrs. Wiggs of the Cabbage Patch,Alice Hegan Rice,1901,"Appalachia",Norman Taurog,Paramount,"Comedy,Drama",Extant,Available,,,,,FALSE,
FALSE,Mrs. Wiggs of the Cabbage Patch,1942,Mrs. Wiggs of the Cabbage Patch,Alice Hegan Rice,1901,"Appalachia",Ralph Murphy,Paramount,"Comedy,Drama",Extant,Restricted,At UCLA,,,,FALSE,
FALSE,Sandy,1918,Sandy,Alice Hegan Rice,1905,"Appalachia",George Melford,Paramount,Drama,Lost,Unavailable,Lost per LOC,,,,FALSE,
TRUE,A Romance of Billy-Goat Hill,1916,A Romance of Billy-Goat Hill,Alice Hegan Rice,1912,"Deep South",Lynn Reynolds,Universal,Drama,Unknown,Unavailable,,,,,FALSE,
TRUE,Judith of the Cumberlands,1916,Judith of the Cumberlands,Alice MacGowan,1908,"Appalachia",J.P. McGowan,Signal Film Corp.,Drama,Lost,Unavailable,Lost per LOC,,,,FALSE,
TRUE,Hungry Hearts,1922,Hungry Hearts,Anzia Yezierska,1920,"New York City",E. Mason Hopper,Goldwyn Pictures,Drama,Extant,Available,Wikipedia stub,Hungry Hearts,,,FALSE,
TRUE,Salome of the Tenements,1925,Salome of the Tenements,Anzia Yezierska,1923,"New York City",Sidney Olcott,Paramount,Drama,Lost,Unavailable,,,,,FALSE,
FALSE,Amarilly of Clothes-Line Alley,1918,Amarilly of Clothes-Line Alley,Belle K. Maniates,1915,"Northern California",Marshall Neilan,Artcraft Pictures Corporation,"Comedy,Romance",Extant,Available,,https://en.wikipedia.org/wiki/Amarilly_of_Clothes-Line_Alley,,,FALSE,
TRUE,The Woman Who Was Forgotten,1930,The Woman Who Was Forgotten,Bess Streeter Aldrich,1926,"Rural Midwest",Richard Thomas,States Cinema,Drama,Unknown,Unavailable,,,https://langlit.uni.edu/woman-who-was-forgotten,TRUE,FALSE,
TRUE,Cheers for Miss Bishop,1941,Miss Bishop,Bess Streeter Aldrich,1933,Nebraska,Tay Garnett,United Artists,Drama,Extant,Available,,https://watch.amazon.com/detail?asin=B000YFYSCM,,TRUE,TRUE,
FALSE,The Egg and I,1947,The Egg and I,Betty MacDonald,1945,"Pacific Northwest",Chester Erskine,Universal,Comedy,Extant,Available,Watched on Criterion Channel,,,,FALSE,
TRUE,A Tree Grows in Brooklyn,1945,A Tree Grows in Brooklyn,Betty Smith,1943,"New York City",Elia Kazan,20th Century Fox,"Drama,Romance",Extant,Available,,,Checked,,FALSE,
TRUE,The Member of the Wedding,1953,The Member of the Wedding,Carson McCullers,1946,"Deep South",Fred Zinnemann,Columbia,Drama,Extant,Available,Stanley Kramer film collection,,,,FALSE,
TRUE,Pinky,1949,Quality,Cid Ricketts Sumner,1946,"Deep South",Elia Kazan,20th Century Fox,Drama,Extant,Available,,,,,FALSE,
FALSE,Tammy and the Bachelor,1957,Tammy Out of Time,Cid Ricketts Sumner,1948,"Deep South",Joseph Pevney,Universal,Romance,Extant,Available,Spurred 3 sequels throughout the 60s,,https://www.youtube.com/watch?v=TbRDPZYjNVM,,FALSE,
TRUE,The Hanging Tree,1959,The Hanging Tree,Dorothy M. Johnson,1957,Montana,Delmer Davies,Warner Bros,Western,Extant,Available,,,Checked,,FALSE,
FALSE,That Hagen Girl,1947,That Hagen Girl,Edith Roberts,1946,"Great Lakes Region",Peter Godfrey,Warner Bros,Drama,Extant,Available,,,,,FALSE,
FALSE,So Big,1924,So Big,Edna Ferber,1924,"Rural Midwest",Charles Brabin,First National,Drama,Lost,Unavailable,,,,,FALSE,
FALSE,Come and Get It,1936,Come and Get It,Edna Ferber,1935,"Rural Midwest","Howard Hawks,William Wyler",Howard Productions Inc,,Extant,Available,,,,,FALSE,
TRUE,Cimarron,1960,Cimarron,Edna Ferber,1930,Oklahoma,Anthony Mann,MGM,Western,Extant,Available,,,,,TRUE,
TRUE,Cimarron,1931,Cimarron,Edna Ferber,1930,Oklahoma,Wesley Ruggles,RKO,,Extant,Available,,,,,FALSE,
FALSE,Ice Palace,1960,Ice Palace,Edna Ferber,1958,Alaska,Vincent Sherman,Warner Bros,,Extant,Available,At UCLA; DVD may be out of print,,,,FALSE,
FALSE,So Big,1932,So Big,Edna Ferber,1924,"Rural Midwest",William A. Wellman,Warner Bros,Drama,Extant,Restricted,,,,,FALSE,
FALSE,So Big,1953,So Big,Edna Ferber,1924,"Rural Midwest",Robert Wise,Warner Bros,Drama,Extant,Restricted,,,,,FALSE,
TRUE,Giant,1956,Giant,Edna Ferber,1952,"South Texas",George Stevens,Warner Bros,Western,Extant,Available,,,,,TRUE,
FALSE,Underworld,1937,Chicago After Midnight,Edna Mae Baker,,"Rural Midwest",Oscar Micheaux,Micheaux Pictures,,Extant,Available,,,,,TRUE,
FALSE,Pollyanna,1960,Pollyanna,Eleanor H. Porter,1913,"New England",David Swift,Disney,Drama,Extant,Available,Streaming on Disney+,,,,FALSE,
FALSE,Dawn,1919,Dawn,Eleanor H. Porter,1919,,J. Stuart Blackton,J. Stuart Blackton Feature Pictures,Drama,Unknown,Unavailable,School for the blind setting,,,,FALSE,
TRUE,Pollyanna,1920,Pollyanna,Eleanor H. Porter,1913,"New England",Paul Powell,Mary Pickford Company,Drama,Extant,Available,Pickford's first film for United Artists,,,,TRUE,
FALSE,Has Anybody Seen My Gal,1952,Oh Money Money,Eleanor H. Porter,1918,"New England",Douglas Sirk,Universal,Comedy,Extant,Available,,,,,FALSE,
TRUE,Kildare of Storm,1918,Kildares of Storm,Eleanor Mercein Kelly,1916,"Appalachia",Harry L. Franklin,Metro Pictures,Drama,Lost,Unavailable,Lost per LOC,,,,FALSE,
FALSE,In This Our Life,1942,In This Our Life,Ellen Glasgow,1941,"Mid-Atlantic",John Huston,Warner Bros,Melodrama,Extant,Available,,,,,TRUE,
FALSE,Just Around the Corner,1921,The Superman,Fannie Hurst,1914,"New York City",Frances Marion,Cosmopolitan Productions,Melodrama,Extant,Restricted,Screened at Pordenone; at UCLA,,,,FALSE,
FALSE,The Good Provider,1922,The Good Provider,Fannie Hurst,1914,"New York City",Frank Borzage,Cosmopolitan Productions,Melodrama,Unknown,Unavailable,,,,,FALSE,
TRUE,Humoresque,1920,Humoresque,Fannie Hurst,1919,"New York City",Frank Borzage,Cosmopolitan Productions,Drama,Extant,Available,Terrible quality online :(,"Humoresque : Frances Marion : Free Download, Borrow, and Streaming : Internet Archive",,,TRUE,
FALSE,Back Street,1948,Back Street,Fannie Hurst,1931,"Northern California",Esther Eng,Silver Light,Drama,Lost,Unavailable,Chinese-American adaptation set in San Francisco,,,,FALSE,
FALSE,Imitation of Life,1934,Imitation of Life,Fannie Hurst,1933,"Northeast Atlantic Coast",John M. Stahl,Universal,Drama,Extant,Available,,,,,FALSE,
TRUE,Back Street,1932,Back Street,Fannie Hurst,1931,"New York City",John M. Stahl,Universal,Drama,Extant,Available,,Back Street (1932),,,TRUE,
FALSE,Back Street,1941,Back Street,Fannie Hurst,1931,"New York City",Robert Stevenson,Universal,Drama,Extant,Available,,,,,FALSE,
TRUE,Imitation of Life,1959,Imitation of Life,Fannie Hurst,1933,"New York City",Douglas Sirk,Universal,"Drama,Melodrama",Extant,Available,,,Checked,,FALSE,
FALSE,Back Street,1961,Back Street,Fannie Hurst,1931,"New York City",David Miller,Universal,Drama,Extant,Available,,,,,FALSE,
FALSE,Humoresque,1946,Humoresque,Fannie Hurst,1919,"New York City",Jean Negulesco,Warner Bros,Melodrama,Extant,Available,,,,,FALSE,
FALSE,Gene of the Northland,1915,N/A,Gene Gauntier,,"Pacific Northwest",J.J. Clark,Bison Motion Pictures,,Unknown,Unavailable,,,,,FALSE,
FALSE,Freckles,1960,Freckles,Gene Stratton-Porter,1904,"Limberlost",Andrew McLaglen,20th Century Fox,Drama,Extant,Restricted,Filmed in San Bernadino National Park in CinemaScope,,,,FALSE,
FALSE,A Girl of the Limberlost,1945,A Girl of the Limberlost,Gene Stratton-Porter,1909,"Limberlost",Mel Ferrer,Columbia,Drama,Unknown,Unavailable,,,,,FALSE,
TRUE,Keeper of the Bees,1947,The Keeper of the Bees,Gene Stratton-Porter,1925,"Southern California",John Sturges,Columbia,Drama,Unknown,Unavailable,Private collection? https://nitrateville.com/viewtopic.php?f=4&t=12955&p=93497&hilit=girl+of+the+limberlost#p93497,,,,FALSE,
FALSE,Freckles,1928,Freckles,Gene Stratton-Porter,1904,"Limberlost",James Leo Meehan,Film Booking Office,Drama,Lost,Unavailable,No WP article,,,,FALSE,
FALSE,The Magic Garden,1927,The Magic Garden,Gene Stratton-Porter,1927,,James Leo Meehan,Gene Stratton Porter Productions,Drama,Lost,Unavailable,No WP article,,,,FALSE,
FALSE,Michael O'Halloran,1923,Michael O'Halloran,Gene Stratton-Porter,1915,"Limberlost",James Leo Meehan,Gene Stratton Porter Productions,Melodrama,Lost,Unavailable,Wikipedia stub,,,,FALSE,
FALSE,A Girl of the Limberlost,1924,A Girl of the Limberlost,Gene Stratton-Porter,1909,"Limberlost",James Leo Meehan,Gene Stratton Porter Productions,Drama,Lost,Unavailable,No WP article,,,,FALSE,
FALSE,Laddie,1926,Laddie,Gene Stratton-Porter,1913,"Limberlost",James Leo Meehan,Gene Stratton Porter Productions,"Drama,Romance",Lost,Unavailable,No WP article,,,,FALSE,
TRUE,The Keeper of the Bees,1925,The Keeper of the Bees,Gene Stratton-Porter,1925,"Southern California",James Leo Meehan,Gene Stratton Porter Productions,Drama,Lost,Unavailable,,,,,FALSE,
